"","carat","cut","color","clarity","total_depth_percent","table","price ($)","length (mm)","width (mm)","depth (mm)"
"153",0.72,"Fair","G","I1",65.1,57,1147,5.65,5.55,3.65
"154",1.01,"Fair","E","VVS1",66.1,55,8529,6.19,6.1,4.06
"155",0.71,"Fair","I","VS2",61.6,67,1840,5.76,5.61,3.5
"156",0.32,"Fair","F","SI1",64.4,54,638,4.36,4.33,2.8
"157",0.85,"Fair","H","I1",66.9,54,1250,5.98,5.75,3.94
"158",1,"Fair","D","SI2",65.2,56,3634,6.27,6.21,4.07
"159",1,"Fair","J","VS1",65.5,55,2875,6.3,6.25,4.11
"160",1.5,"Fair","J","SI2",65.5,60,5268,7.07,7.03,4.62
"161",0.8,"Fair","G","SI2",67.1,56,2400,5.76,5.73,3.85
"162",3.65,"Fair","H","I1",67.1,53,11668,9.53,9.48,6.38
"163",0.7,"Fair","F","SI2",64.9,58,2035,5.46,5.59,3.59
"164",1,"Fair","F","VS1",65,59,6115,6.19,6.14,4.01
"165",1.01,"Fair","I","VS1",64.9,56,3801,6.29,6.2,4.07
"166",1.01,"Fair","F","VS2",69,61,6041,6.06,5.99,4.16
"167",0.7,"Fair","D","SI2",65.5,57,1806,5.56,5.43,3.6
"168",2.14,"Fair","F","SI2",64.8,60,13825,8.11,8,5.22
"169",0.32,"Fair","F","VS2",59.6,60,1715,4.42,4.34,2.61
"170",1,"Fair","G","SI1",66.1,62,3700,6.1,6.03,4.01
"171",1.51,"Fair","H","SI2",65.4,60,6291,7.06,6.96,4.6
"172",0.85,"Fair","I","SI1",65.8,65,2493,5.88,5.79,3.84
"173",0.7,"Fair","D","SI2",64.5,60,2167,5.53,5.47,3.55
"174",0.9,"Fair","E","VS2",64.5,61,4125,6.07,6.03,3.9
"175",0.9,"Fair","I","SI1",65.3,61,2873,5.98,5.94,3.89
"176",0.5,"Fair","E","VS2",79,73,2579,5.21,5.18,4.09
"177",2.32,"Fair","H","SI1",62,62,18026,8.47,8.31,5.2
"178",1.51,"Fair","F","I1",67.8,59,3734,7.09,7,4.78
"179",1.7,"Fair","D","I1",64.7,56,5617,7.46,7.37,4.8
"180",0.49,"Fair","E","VVS2",65.5,58,1705,4.91,4.86,3.2
"181",0.96,"Fair","H","SI2",67.6,63,2672,5.99,5.84,4.01
"182",0.7,"Fair","G","I1",64.3,62,956,5.59,5.49,3.57
"183",0.7,"Fair","D","SI2",67.8,58,1770,5.51,5.44,3.71
"184",0.9,"Fair","D","VS2",57.4,65,4277,6.26,6.29,3.6
"185",2.5,"Fair","G","I1",64.7,57,7854,8.48,8.44,5.47
"186",1.52,"Fair","H","SI2",65,57,7388,7.12,7.09,4.62
"187",1.5,"Fair","G","SI1",56.1,62,7300,7.6,7.52,4.24
"188",1.51,"Fair","H","SI2",66.9,57,5919,7.13,7.09,4.75
"189",1.52,"Fair","J","SI2",65.8,57,5916,7.18,7.11,4.7
"190",0.7,"Fair","E","SI2",64.4,58,1998,5.58,5.51,3.57
"191",1.01,"Fair","H","SI1",64.5,59,3869,6.27,6.23,4.03
"192",1.01,"Fair","D","VS2",65.3,58,6366,6.29,6.24,4.09
"193",2.01,"Fair","I","I1",67.4,58,5696,7.71,7.64,5.17
"194",0.32,"Fair","D","VVS1",62.4,61,875,4.38,4.44,2.75
"195",1,"Fair","H","VS1",55.8,60,5460,6.66,6.61,3.7
"196",0.57,"Fair","E","VVS1",58.7,66,2805,5.34,5.43,3.16
"197",0.71,"Fair","F","IF",58.7,62,3205,5.87,5.81,3.43
"198",0.7,"Fair","I","VS1",60.2,66,2234,5.77,5.62,3.44
"199",0.5,"Fair","F","VS1",65,55,1577,5.01,4.96,3.24
"200",0.71,"Fair","D","SI1",66.3,56,2372,5.61,5.49,3.68
"201",1.5,"Good","I","VS1",57.2,62,9702,7.64,7.61,4.36
"202",0.91,"Good","H","VS2",63.8,59,3192,5.99,5.96,3.82
"203",1.52,"Good","F","SI1",63.6,54,10664,7.33,7.22,4.63
"204",1,"Good","H","VS2",57.8,59,4166,6.53,6.47,3.75
"205",1.54,"Good","J","SI1",62.9,62,7349,7.3,7.36,4.61
"206",0.3,"Good","E","SI1",63.6,57,526,4.22,4.24,2.69
"207",1.51,"Good","G","VVS2",63.8,59,13155,7.24,7.28,4.63
"208",1.09,"Good","D","VS1",63.9,57,7493,6.57,6.49,4.17
"209",1.33,"Good","D","VS2",63.6,58,11023,7.02,6.91,4.43
"210",0.5,"Good","D","VS2",63.4,57,1635,5.04,5.09,3.21
"211",1.01,"Good","G","SI1",63.9,57,4588,6.3,6.37,4.05
"212",1.01,"Good","D","SI1",57.6,60,5501,6.59,6.64,3.81
"213",0.25,"Good","E","VVS2",58,65,476,4.13,4.18,2.41
"214",1.51,"Good","G","VS2",63.7,57,9741,7.21,7.18,4.58
"215",0.31,"Good","E","SI1",63.6,57,544,4.28,4.3,2.73
"216",0.71,"Good","F","SI1",57.9,53,2300,5.84,5.8,3.37
"217",1.7,"Good","H","VS2",62.5,59,12723,7.48,7.58,4.71
"218",1,"Good","H","SI1",61,61,4510,6.36,6.42,3.9
"219",1.05,"Good","H","SI1",59.2,60,4845,6.59,6.62,3.91
"220",1.02,"Good","H","SI1",57.1,61,4167,6.66,6.57,3.78
"221",1.2,"Good","F","VVS1",63.6,57,10982,6.71,6.74,4.28
"222",1.01,"Good","D","SI2",64.6,59,4468,6.23,6.3,4.05
"223",0.7,"Good","H","SI1",63.3,60,2029,5.57,5.65,3.55
"224",0.4,"Good","G","SI2",63.2,56,596,4.7,4.73,2.98
"225",0.71,"Good","G","VS2",64,55,2599,5.65,5.67,3.62
"226",0.52,"Good","E","SI2",63.7,56,1229,5.15,5.12,3.27
"227",0.96,"Good","H","SI2",56.7,62,3454,6.51,6.39,3.66
"228",0.71,"Good","J","VS1",63.3,55,1881,5.62,5.66,3.57
"229",0.71,"Good","F","SI2",64.1,60,2130,0,0,0
"230",0.7,"Good","E","SI2",59.9,57,2026,5.75,5.8,3.46
"231",1.5,"Good","G","VS2",63.3,62,11577,7.08,7.2,4.52
"232",1.52,"Good","H","VS1",63.5,60,11804,7.24,7.28,4.61
"233",0.7,"Good","E","SI1",63.2,57,2496,5.61,5.63,3.55
"234",1,"Good","J","VS2",57.6,58,3422,6.59,6.56,3.79
"235",1.09,"Good","D","IF",58.7,61,16406,6.75,6.85,3.99
"236",1,"Good","E","SI1",63.1,64,4435,6.31,6.25,3.96
"237",1.01,"Good","F","SI2",58.2,63,4119,6.51,6.55,3.8
"238",1.2,"Good","H","SI2",62.2,62,5082,6.69,6.75,4.18
"239",1.01,"Good","E","SI1",63.6,60,5226,6.38,6.32,4.04
"240",0.97,"Good","J","VS2",60,56,3717,6.4,6.46,3.86
"241",1.51,"Good","I","SI2",63.6,60,7815,7.23,7.27,4.61
"242",0.9,"Good","G","VS1",63.9,57,4223,6.08,6.03,3.87
"243",0.38,"Good","D","VS2",63.4,55,871,4.63,4.67,2.95
"244",0.93,"Good","G","VS1",63.8,59,4503,6.15,6.21,3.94
"245",0.4,"Good","F","VS1",63.1,59,877,4.64,4.68,2.94
"246",1.11,"Good","J","SI1",63.6,58,3916,6.57,6.48,4.15
"247",1.51,"Good","G","VS1",63.1,55,12489,7.3,7.34,4.62
"248",0.34,"Good","H","VVS1",64,57,893,4.43,4.38,2.82
"249",0.3,"Good","G","VVS1",63.4,56,789,4.27,4.31,2.72
"250",1.01,"Good","G","SI2",63.4,57,3852,6.32,6.37,4.02
"251",1.01,"Good","E","SI1",64.3,59,4853,6.34,6.31,4.07
"252",1.2,"Good","I","SI1",64.4,61,5458,6.52,6.59,4.22
"253",0.71,"Good","F","SI2",64,58,1818,5.65,5.59,3.6
"254",0.6,"Good","G","SI1",65.3,56,1350,5.21,5.26,3.42
"255",0.59,"Good","I","SI2",63.9,57,1180,5.3,5.25,3.37
"256",0.3,"Good","E","SI1",63.2,57,526,4.25,4.3,2.7
"257",0.23,"Good","E","VVS2",64.5,55,472,3.85,3.9,2.5
"258",1.01,"Good","G","SI2",63.8,56,3620,6.32,6.22,4
"259",1.11,"Good","F","SI1",62.1,61,5602,6.58,6.62,4.1
"260",1.3,"Good","J","SI2",62.9,56,5124,6.9,6.94,4.35
"261",0.7,"Good","E","VS1",59.8,62,2973,5.74,5.8,3.45
"262",0.7,"Good","D","VS1",60.4,63,3107,5.73,5.76,3.47
"263",1.01,"Good","J","SI1",58.8,57,3853,6.57,6.63,3.88
"264",0.45,"Good","F","VS2",56.8,62,1066,5.1,5.14,2.91
"265",1.22,"Good","H","SI2",63.5,56,6250,6.84,6.77,4.32
"266",0.9,"Good","G","SI2",63.8,59,3303,6.02,6.05,3.85
"267",0.35,"Good","E","SI2",63.9,55,491,4.48,4.5,2.87
"268",0.31,"Good","D","SI2",63.9,57,462,4.28,4.33,2.75
"269",0.56,"Good","E","VS1",59.8,61,1951,5.35,5.36,3.2
"270",1.21,"Good","F","VS2",63.5,55,7786,6.71,6.77,4.28
"271",1.5,"Good","H","SI2",57.3,62,5833,7.55,7.5,4.31
"272",1.5,"Good","G","SI1",64.2,58,10618,7.2,7.14,4.6
"273",0.89,"Good","E","SI2",61.6,60.9,3284,6.13,6.24,3.82
"274",0.32,"Good","G","VS1",60.8,62,548,4.4,4.45,2.69
"275",0.9,"Good","J","SI2",63.9,56,2717,6.17,6.1,3.92
"276",1.51,"Good","F","VS2",61,63,13010,7.32,7.39,4.49
"277",0.79,"Good","I","VS2",58.5,62,2451,5.99,6.04,3.52
"278",0.7,"Good","F","SI1",63.2,57,2401,5.62,5.68,3.57
"279",0.33,"Good","I","SI1",63.2,58,445,4.36,4.38,2.76
"280",0.3,"Good","D","VS2",63.1,58,568,4.26,4.3,2.7
"281",0.9,"Good","D","SI1",63.2,55,4381,6.1,6.14,3.87
"282",0.71,"Good","I","SI1",64.2,57,1715,5.59,5.57,3.58
"283",1,"Good","G","VS2",63.1,58,5621,6.31,6.39,4.01
"284",0.4,"Good","D","VS2",63.5,56,786,4.66,4.72,2.98
"285",2,"Good","E","SI2",64.7,57,15393,7.75,7.86,5.05
"286",0.35,"Good","G","SI1",63.4,56,522,4.46,4.5,2.84
"287",1.01,"Good","F","VS2",57.3,62,5487,6.63,6.59,3.79
"288",1,"Good","F","VS1",64.2,60,6389,6.18,6.28,4
"289",0.67,"Good","F","VS1",64.4,57,2244,5.55,5.6,3.6
"290",0.5,"Good","G","VVS2",63.9,58,1715,5,5.05,3.21
"291",0.9,"Good","H","SI1",63.8,56,2732,6.07,6.02,3.86
"292",1.63,"Good","I","SI1",63.7,58,9556,7.4,7.48,4.74
"293",1.21,"Good","J","IF",62.1,60,6299,6.81,6.87,4.25
"294",0.7,"Good","D","VVS2",63.7,55,3312,5.66,5.61,3.59
"295",0.91,"Good","D","SI2",64.1,62,3349,6.06,6.01,3.87
"296",0.57,"Good","E","VVS1",59.1,65,2990,5.34,5.43,3.18
"297",1.01,"Good","F","SI2",63.8,57,3532,6.31,6.36,4.04
"298",0.4,"Good","D","VVS2",60.2,63,1135,4.74,4.8,2.87
"299",1.5,"Good","G","VS2",58.8,64,11508,7.43,7.4,4.36
"300",0.91,"Good","F","VVS2",64,61,5317,6.06,6.13,3.9
"301",0.46,"Good","D","VS2",63.2,56,1205,4.89,4.92,3.1
"302",0.31,"Good","F","SI1",63.1,55,516,4.28,4.34,2.72
"303",0.59,"Good","D","SI1",63.7,56,1821,5.35,5.32,3.4
"304",0.31,"Good","G","VS1",63.7,56,625,4.27,4.3,2.73
"305",1,"Good","D","SI1",64.2,60,5093,6.22,6.28,4.01
"306",1.01,"Good","H","SI2",63.9,58,3888,6.32,6.35,4.05
"307",0.51,"Good","E","SI1",57.4,62,1266,5.24,5.29,3.02
"308",1.91,"Good","I","SI2",62.8,58,10937,7.82,7.89,4.93
"309",1.7,"Good","I","SI1",59.3,58,10796,7.72,7.77,4.59
"310",0.63,"Good","H","IF",59.3,62,2404,5.66,5.7,3.37
"311",0.5,"Good","F","SI1",63.1,61,1043,5.06,4.98,3.17
"312",0.72,"Good","D","SI2",64.1,57,2254,5.64,5.71,3.64
"313",0.3,"Good","H","SI1",63.7,57,554,4.28,4.26,2.72
"314",0.33,"Good","I","SI1",63.6,53,434,4.4,4.43,2.81
"315",1.02,"Good","G","VVS1",63.6,58,7861,6.37,6.4,4.06
"316",0.26,"Good","F","VS1",58,58,453,4.2,4.25,2.45
"317",0.7,"Good","E","VS1",61.3,62,3277,5.64,5.72,3.48
"318",2.01,"Good","J","SI1",64.3,54,8104,8.05,7.95,5.14
"319",0.31,"Good","E","SI1",63.9,56,698,4.31,4.27,2.74
"320",0.31,"Good","H","VS2",63.8,56,470,4.33,4.29,2.75
"321",0.73,"Good","J","VS2",60.8,63,2098,5.67,5.78,3.48
"322",0.41,"Good","E","SI1",59.5,62,760,4.85,4.87,2.89
"323",0.41,"Good","E","SI1",63.6,58,904,4.74,4.72,3.01
"324",0.32,"Good","G","SI1",63.5,56,477,4.35,4.38,2.77
"325",0.35,"Good","H","SI1",63.2,57,504,4.48,4.51,2.84
"326",1.5,"Good","F","SI2",62.6,64,8820,7.25,7.19,4.52
"327",0.3,"Good","H","SI1",63.1,56,432,4.27,4.29,2.7
"328",0.9,"Good","G","SI1",63.7,58,3734,6.09,6.12,3.89
"329",0.43,"Good","E","SI2",63.4,57,669,4.77,4.82,3.04
"330",0.3,"Good","J","SI1",64,55,339,4.25,4.28,2.73
"331",0.3,"Good","H","VVS1",63.3,59,684,4.22,4.28,2.69
"332",1.2,"Good","D","VS2",62.4,60,8521,6.69,6.77,4.2
"333",0.53,"Good","E","SI1",62.6,64,1282,5.13,5.22,3.24
"334",1.5,"Good","F","VS2",58.6,64,13160,7.52,7.46,4.39
"335",1.53,"Good","I","SI1",63.1,57,8095,7.28,7.34,4.61
"336",0.7,"Good","D","VS1",60.4,62,3463,5.73,5.76,3.47
"337",1,"Good","D","VS2",60.7,61,7026,6.4,6.46,3.9
"338",0.74,"Good","F","SI2",59.3,61,2190,5.87,5.97,3.51
"339",0.4,"Good","I","SI1",63.9,57,596,4.66,4.7,2.99
"340",0.84,"Good","G","VS2",63.6,59,3312,5.94,5.89,3.76
"341",0.8,"Good","G","SI1",63.9,57,2650,5.84,5.81,3.72
"342",0.34,"Good","E","SI1",63.5,55,556,4.44,4.47,2.83
"343",0.34,"Good","F","IF",59,61,917,4.59,4.63,2.72
"344",0.93,"Good","G","VS1",63.8,59,4425,6.21,6.15,3.94
"345",0.33,"Good","D","VS2",63.5,56,625,4.36,4.4,2.78
"346",1.62,"Good","I","VS1",59.6,65,9526,7.69,7.59,4.55
"347",0.8,"Good","G","SI2",63.7,58,2484,5.88,5.83,3.73
"348",0.76,"Good","J","VS1",62.6,61.9,2015,5.7,5.75,3.58
"349",1.41,"Good","H","VS2",63.8,60,9254,7.12,7.04,4.52
"350",0.9,"Good","E","SI2",63.2,57,3401,6.06,6.15,3.86
"351",1.01,"Good","F","VS2",60.8,61,6271,6.42,6.45,3.91
"352",1.51,"Good","H","SI2",62.8,60,7929,7.22,7.26,4.55
"353",1.2,"Good","I","VS1",59.6,61,5818,6.84,6.89,4.09
"354",0.7,"Good","F","SI2",63.3,58,1978,5.57,5.61,3.54
"355",2.03,"Good","J","VVS2",63.2,60,15898,7.88,7.94,5
"356",1.7,"Good","F","VS1",57.6,63,17330,7.86,7.81,4.51
"357",1.21,"Good","E","I1",64,57,4201,6.73,6.67,4.29
"358",1.01,"Good","G","SI2",63.8,56,4327,6.32,6.28,4.02
"359",1.11,"Good","D","SI1",57.8,61,6088,6.83,6.78,3.93
"360",1.01,"Good","E","SI1",56.9,61,4928,6.65,6.6,3.77
"361",0.73,"Good","E","VS1",60.8,61,3471,5.77,5.8,3.52
"362",0.7,"Good","F","SI1",64.3,62,1878,5.55,5.49,3.55
"363",0.7,"Good","H","VVS1",62.7,56,2877,5.6,5.66,3.53
"364",0.4,"Good","E","SI1",63.7,57,882,4.69,4.66,2.98
"365",1.01,"Good","D","VS2",63.1,60,6999,6.35,6.39,4.02
